IPA_csv
abreagir
abreagir,des
abreagir,em
abreagir,es
abreagir,mos
abreagisse
abreagisse,m
abreagisse,s
ab,re,agísseis
ab,re,agíssemos
abreaja
abreaja,is
abreaja,m
abreaja,mos
abreaja,s
abrogar
abrogar,des
abrogar,em
abrogar,es
abrogar,mos
abrogasse
abrogasse,m
abrogasse,s
abrogue
abrogue,is
abrogue,m
abrogue,mos
abrogue,s
ab,rogásseis
ab,rogássemos
abacharelar
abacharelar,des
abacharelar,em
abacharelar,es
abacharelar,mos
abacharelasse
abacharelasse,m
abacharelasse,s
abacharele
abacharele,is
abacharele,m
abacharele,mos
abacharele,s
a,bacharel,ásseis
a,bacharel,ássemos
abacinar
abacinar,des
abacinar,em
abacinar,es
abacinar,mos
abacin,asse
abacin,assem
abacin,asses
abacine
abacine,is
abacine,m
abacine,mos
abacine,s
abacin,ásseis
abacin,ássemos
abafar
abafar,des
abafar,em
abafar,es
abafar,mos
abafasse
abafasse,m
abafasse,s
abafe
abafe,is
abafe,m
abafe,mos
abafe,s
abaf,ásseis
abaf,ássemos
abainhar
abainhar,des
abainhar,em
abainhar,es
abainhar,mos
a,bainhasse
a,bainhasse,m
a,bainhasse,s
abainhe
abainhe,is
abainhe,m
abainhe,mos
abainhe,s
a,bainh,ásseis
a,bainh,ássemos
abaixar
abaixar,des
abaixar,em
abaixar,es
abaixar,mos
a,baixasse
a,baixasse,m
a,baixasse,s
abaixe
abaixe,is
abaixe,m
abaixe,mos
abaixe,s
a,baix,ásseis
a,baix,ássemos
abalar
abalar,des
abalar,em
abalar,es
abalar,mos
abalasse
abalasse,m
abalasse,s
abale
abale,is
abale,m
abale,mos
abale,s
abalienar
abalienar,des
abalienar,em
abalienar,es
abalienar,mos
abalienasse
abalienasse,m
abalienasse,s
abaliene
abaliene,is
abaliene,m
abaliene,mos
abaliene,s
ab,alien,ásseis
ab,alien,ássemos
abalroar
abalroar,des
abalroar,em
abalroar,es
abalroar,mos
abalroasse
abalroasse,m
abalroasse,s
abalroe
abalroe,is
abalroe,m
abalroe,mos
abalroe,s
abalro,ásseis
abalro,ássemos
ab,alásseis
ab,alássemos
abanar
abanar,des
abanar,em
abanar,es
abanar,mos
aban,asse
aban,assem
aban,asses
abandar
abandar,des
abandar,em
abandar,es
abandar,mos
abandasse
abandasse,m
abandasse,s
abande
abandeirar
abandeirar,des
abandeirar,em
abandeirar,es
abandeirar,mos
abandeirasse
abandeirasse,m
abandeirasse,s
abandeire
abandeire,is
abandeire,m
abandeire,mos
abandeire,s
abande,irásseis
abande,irássemos
abande,is
abande,m
abande,mos
abande,s
abandonar
abandonar,des
abandonar,em
abandonar,es
abandonar,mos
abandon,asse
abandon,assem
abandon,asses
abandone
abandone,is
abandone,m
abandone,mos
abandone,s
abandon,ásseis
abandon,ássemos
ab,andásseis
ab,andássemos
abane
abane,is
abane,m
abane,mos
abane,s
aban,ásseis
aban,ássemos
abarbar
abarbar,des
abarbar,em
abarbar,es
abarbar,mos
abarb,asse
abarb,assem
abarb,asses
abarbe
abarbe,is
abarbe,m
abarbe,mos
abarbe,s
abarb,ásseis
abarb,ássemos
abarcar
abarcar,des
abarcar,em
abarcar,es
abarcar,mos
abarc,asse
abarc,assem
abarc,asses
abarc,ásseis
abarc,ássemos
abarque
abarque,is
abarque,m
abarque,mos
abarque,s
abarrotar
abarrotar,des
abarrotar,em
abarrotar,es
abarrotar,mos
abarrotasse
abarrotasse,m
abarrotasse,s
abarrote
abarrote,is
abarrote,m
abarrote,mos
abarrote,s
ab,arrot,ásseis
ab,arrot,ássemos
abastar
abastardar
abastardar,des
abastardar,em
abastardar,es
abastardar,mos
abastardasse
abastardasse,m
abastardasse,s
abastarde
abastarde,is
abastarde,m
abastarde,mos
abastar,des
abas,tard,ásseis
abas,tard,ássemos
abastar,em
abastar,es
abastar,mos
abastasse
abastasse,m
abastasse,s
abaste
abastecer
abastecer,des
abastecer,em
abastecer,es
abastecer,mos
a,bastecesse
a,bastecesse,m
abaste,cesses
abaste,cêsseis
abaste,cêssemos
abaste,is
abaste,m
abaste,mos
abaste,s
abasteça
abasteça,is
abasteça,m
abasteça,mos
abasteça,s
a,bast,ásseis
a,bast,ássemos
abata
abata,is
abata,m
abata,mos
abata,s
abater
abater,des
abater,em
abater,es
abater,mos
abatesse
abatesse,m
abatesse,s
a,batêsseis
a,batêssemos
abdicar
abdicar,des
abdicar,em
abdicar,es
abdicar,mos
abdic,asse
abdic,assem
abdic,asses
abdic,ásseis
abdic,ássemos
abdique
abdique,is
abdique,m
abdique,mos
abdique,s
abduza
abduza,is
abduza,m
abduza,mos
abduza,s
abduzir
abduzir,des
abduzir,em
abduzir,es
abduzir,mos
abduzisse
abduzisse,m
abduzisse,s
abduzísse,is
abduzísse,mos
abençoar
abençoar,des
abençoar,em
abençoar,es
abençoar,mos
abenço,asse
abenço,assem
abenço,asses
abençoe
abençoe,is
abençoe,m
abençoe,mos
abençoe,s
abenço,ásseis
abenço,ássemos
aberrar
aberrar,des
aberrar,em
aberrar,es
aberrar,mos
aberrasse
aberrasse,m
aberrasse,s
aberre
aberre,is
aberre,m
aberre,mos
aberre,s
a,berr,ásseis
a,berr,ássemos
abespinhar
abespinhar,des
abespinhar,em
abespinhar,es
abespinhar,mos
abespinh,asse
abespinh,assem
abespinh,asses
abespinhe
abespinhe,is
abespinhe,m
abespinhe,mos
abespinhe,s
abespinh,ásseis
abespinh,ássemos
abicar
abicar,des
abicar,em
abicar,es
abicar,mos
abicasse
abicasse,m
abicasse,s
ab,icásseis
ab,icássemos
abique
abique,is
abique,m
abique,mos
abique,s
abirritar
